onset	duration	trial_type	expression	face_id	face_age	face_sex	face_eth	average_attractiveness	catch	rating_score	response_hand	subject_attractiveness	subject_dominance	subject_trustworthiness
6.021096505117384	1.23332994251723	00STIM061smiling	smiling	61.0	40.0	male	black	-0.8918740896164304	0.0	n/a	n/a	-0.6250000000000001	1.5474999999999999	-0.9225000000000001
11.020978178747098	1.2333163591338234	01STIM011neutral	neutral	11.0	36.0	female	white	-0.47601512026396714	0.0	n/a	n/a	-0.12750000000000006	0.3424999999999998	0.7350000000000001
16.02084475972697	1.233314548017006	02STIM092smiling	smiling	92.0	32.0	male	white	-0.915296031568466	0.0	n/a	n/a	-1.4224999999999999	-0.37249999999999994	-0.38250000000000006
21.012366313087114	1.2416583682243072	03STIM087smiling	smiling	87.0	31.0	female	east_asian	0.2940409712611131	0.0	n/a	n/a	-0.21250000000000013	0.48249999999999976	0.4325
26.020576714276103	1.2333124350461728	04STIM038neutral	neutral	38.0	40.0	female	west_asian	-1.8899356160623442	0.0	n/a	n/a	-0.8175000000000001	-0.7550000000000001	0.16999999999999993
31.020441484139155	1.2333003609255684	05STIM101smiling	smiling	101.0	37.0	male	white	0.8982314738605546	0.0	n/a	n/a	-0.6425	1.9249999999999998	-1.2225000000000001
36.02030776326683	1.2333136424567783	06STIM137neutral	neutral	137.0	21.0	male	black	-0.21789575997623065	0.0	n/a	n/a	0.6675	1.1549999999999998	0.3500000000000001
41.020172231277684	1.23331666098602	07STIM070smiling	smiling	70.0	31.0	male	west_asian	-1.4382267355588056	0.0	n/a	n/a	-1.915	1.5425	-1.6175000000000002
46.020037302992925	1.2333196795170809	08STIM144smiling	smiling	144.0	27.0	female	white	0.42453464785102385	1.0	n/a	n/a	1.3150000000000002	-0.27749999999999997	1.3475000000000001
49.26166276924233	1.9915834332223312	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.52838580192292	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
55.01979944283994	1.2333136424567783	09STIM172neutral	neutral	172.0	40.0	male	white	-1.5405184820432047	0.0	n/a	n/a	-0.7424999999999999	-0.04500000000000004	1.03
60.01965455340724	1.2333226980463223	10STIM044neutral	neutral	44.0	22.0	male	black	-0.4607191581728415	1.0	n/a	n/a	1.085	0.33499999999999996	1.03
63.25292593644736	1.999946270168948	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
64.18110816871558	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.0	left	n/a	n/a	n/a
69.0194188062269	1.2333178683984445	11STIM034smiling	smiling	34.0	24.0	female	east_asian	-0.29246357517046534	0.0	n/a	n/a	-0.47999999999999987	-1.185	-0.15499999999999992
74.01095394297046	1.2416556515472619	12STIM036smiling	smiling	36.0	21.0	male	east_asian/white	0.4211886561435903	0.0	n/a	n/a	3.325	0.10750000000000005	2.645
79.01915377930527	1.2333130387505662	13STIM126neutral	neutral	126.0	25.0	female	black	0.8494755946950933	0.0	n/a	n/a	1.01	0.8525	0.37249999999999983
84.01901432322666	1.2333196795170809	14STIM036neutral	neutral	36.0	21.0	male	east_asian/white	0.4211886561435903	0.0	n/a	n/a	3.325	0.10750000000000005	2.645
89.01886701897092	1.233332055488063	15STIM082neutral	neutral	82.0	20.0	male	black	-0.05298616868128749	0.0	n/a	n/a	1.94	0.5274999999999999	1.2675
94.01875654077776	1.2333085109567037	16STIM064smiling	smiling	64.0	25.0	female	west_asian	-0.5711368845181508	1.0	n/a	n/a	1.1800000000000002	-0.33999999999999997	1.8975000000000002
97.2520110200494	1.999955627610689	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
98.54377396524069	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
103.0185087194768	1.2333148498692026	17STIM039smiling	smiling	39.0	27.0	female	white	1.2371326339420454	0.0	n/a	n/a	1.2350000000000003	-0.8675000000000002	2.3
108.01837198007523	1.2333154535735955	18STIM087neutral	neutral	87.0	31.0	female	east_asian	0.2940409712611131	0.0	n/a	n/a	-0.21250000000000013	0.48249999999999976	0.4325
113.01823856105513	1.2333169628400356	19STIM124neutral	neutral	124.0	28.0	female	white	3.0339301808338996	0.0	n/a	n/a	2.87	0.5350000000000001	1.485
118.01810272721195	1.2333187739586722	20STIM062smiling	smiling	62.0	30.0	female	black	-0.5003930598466972	0.0	n/a	n/a	-0.04250000000000008	1.0149999999999997	-0.4324999999999999
123.01797262857508	1.2333136424567783	21STIM099neutral	neutral	99.0	24.0	female	black	-0.06684813432636988	1.0	n/a	n/a	0.47750000000000026	0.7499999999999998	0.41500000000000015
126.25123284305481	1.999945062756524	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
127.29298394051693	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-1.0	right	n/a	n/a	n/a
132.01772993877606	1.233325716575564	22STIM030neutral	neutral	30.0	24.0	female	east_asian	1.5119819527669502	0.0	n/a	n/a	1.5524999999999998	0.6950000000000001	1.6175
137.01759470863908	1.2333148498692026	23STIM012smiling	smiling	12.0	24.0	male	white	-0.04294819355898679	0.0	n/a	n/a	0.007500000000000187	2.1225	-0.635
148.26729202555725	1.233313642458597	24STIM033neutral	neutral	33.0	28.0	male	white	0.9087474477982034	0.0	n/a	n/a	-0.5425000000000001	1.1475000000000002	-0.73
