onset	duration	trial_type	expression	face_id	face_age	face_sex	face_eth	average_attractiveness	catch	rating_score	response_hand	subject_attractiveness	subject_dominance	subject_trustworthiness
6.018512643564918	1.233319981369732	00STIM102smiling	smiling	102.0	31.0	female	white	-1.0397488653716234	0.0	n/a	n/a	-1.5525	-1.32	0.20500000000000007
11.018396128312817	1.2333054924263251	01STIM043neutral	neutral	43.0	20.0	male	black	-0.5934253483863924	0.0	n/a	n/a	-1.115	-1.6125	-0.12000000000000005
16.009997974566428	1.2415732456831847	02STIM101smiling	smiling	101.0	37.0	male	white	0.7530254849768743	0.0	n/a	n/a	1.205	-0.665	0.07500000000000007
21.009765849620866	1.241661990460898	03STIM117smiling	smiling	117.0	26.0	male	white	-0.3981068632997449	0.0	n/a	n/a	0.385	1.3849999999999998	-1.0825
26.00975226623655	1.2415433622379624	04STIM034smiling	smiling	34.0	24.0	female	east_asian	-0.2821624859823532	0.0	n/a	n/a	-1.4125	-0.16000000000000014	-0.8475
31.00954881732491	1.2416124865712843	05STIM038smiling	smiling	38.0	40.0	female	west_asian	-1.6710015863218712	0.0	n/a	n/a	-1.1675	-1.3425000000000002	1.1925
36.01771907206762	1.2333139443098844	06STIM082smiling	smiling	82.0	20.0	male	black	-0.0739612923048848	0.0	n/a	n/a	1.3875000000000002	-1.045	1.72
41.009235192073454	1.2416713479033206	07STIM042neutral	neutral	42.0	27.0	male	black	0.391062930699281	0.0	n/a	n/a	0.9900000000000002	-2.1	0.26750000000000007
46.00920259195118	1.2415623789756864	08STIM121smiling	smiling	121.0	34.0	male	white	-0.550205938920411	0.0	n/a	n/a	-2.5625	2.255	-1.97
51.00913014723483	1.241504423202514	09STIM144neutral	neutral	144.0	27.0	female	white	0.34119438131545526	0.0	n/a	n/a	-1.5999999999999999	0.38749999999999996	0.6400000000000001
56.017195658991795	1.233303077602386	10STIM130neutral	neutral	130.0	19.0	male	white	-0.9753353224175166	0.0	n/a	n/a	-1.9625000000000001	-0.7925000000000001	-0.8324999999999999
61.00870453452603	1.2416625941666553	11STIM092neutral	neutral	92.0	32.0	male	white	-0.8236518180417165	0.0	n/a	n/a	-0.7425	-0.45499999999999996	0.8150000000000002
66.01693183948282	1.2333054924265523	12STIM087neutral	neutral	87.0	31.0	female	east_asian	0.2277434314672544	0.0	n/a	n/a	-0.9374999999999999	0.5124999999999998	-0.17749999999999994
71.01678815746209	1.2333136424570057	13STIM101neutral	neutral	101.0	37.0	male	white	0.7530254849768743	0.0	n/a	n/a	1.205	-0.665	0.07500000000000007
76.00830910711579	1.241653840430217	14STIM136smiling	smiling	136.0	54.0	female	white	-0.9304536279720743	0.0	n/a	n/a	-1.1875	0.39249999999999996	-1.1524999999999999
81.01651799904062	1.2333299425181394	15STIM126smiling	smiling	126.0	25.0	female	black	0.7106372180006233	1.0	n/a	n/a	0.07250000000000012	1.5175	-1.4425
83.75815931257193	2.4915615488800995	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
90.01629342041973	1.2333057942794312	16STIM027neutral	neutral	27.0	26.0	female	white	1.7512276151431008	0.0	n/a	n/a	0.7850000000000003	-0.4725	-0.2350000000000001
94.58293546594471	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
95.0078053144839	1.2416595756369588	17STIM024smiling	smiling	24.0	47.0	male	east_asian	-1.0513848602278495	0.0	n/a	n/a	-0.44999999999999996	0.8500000000000001	-0.6149999999999999
97.5497286190739	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
100.00773256791443	1.2415982994812111	18STIM030neutral	neutral	30.0	24.0	female	east_asian	1.2866189633837992	0.0	n/a	n/a	1.065	-0.042500000000000204	0.9474999999999998
103.6071193233904	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
105.01588531518429	1.233315755427839	19STIM144smiling	smiling	144.0	27.0	female	white	0.34119438131545526	0.0	n/a	n/a	-1.5999999999999999	0.38749999999999996	0.6400000000000001
107.34094053164154	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-2.0	right	n/a	n/a	n/a
110.02409692378592	1.2333054924263251	20STIM005smiling	smiling	5.0	28.0	male	east_asian	-1.6934424335445926	1.0	n/a	n/a	-2.615	-0.40249999999999997	-0.6125
112.05747824168202	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	left	n/a	n/a	n/a
112.75736121327986	2.4999331395638364	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
125.27369010142547	1.2333103220742032	21STIM121neutral	neutral	121.0	34.0	male	white	-0.550205938920411	0.0	n/a	n/a	-2.5625	2.255	-1.97
130.26530704032822	1.241554832651218	22STIM136neutral	neutral	136.0	54.0	female	white	-0.9304536279720743	0.0	n/a	n/a	-1.1875	0.39249999999999996	-1.1524999999999999
135.26511777850692	1.2499614382811617	23STIM141smiling	smiling	141.0	23.0	male	white	-0.5747246423674581	1.0	n/a	n/a	-0.8200000000000002	-1.445	0.5250000000000001
138.00668876029272	2.499934346975806	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
140.2234059219329	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	left	n/a	n/a	n/a
144.27318600694068	1.2333057942794312	24STIM009neutral	neutral	9.0	22.0	female	white	1.49980701199965	1.0	n/a	n/a	1.325	-1.9000000000000001	2.415
147.01479079626097	2.491594752708352	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
149.6648263696352	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
151.2897622636076	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
153.2729475430826	1.2333202832223833	25STIM018smiling	smiling	18.0	19.0	male	white	0.07772221207091483	0.0	n/a	n/a	1.4225	-1.6150000000000002	1.9325
158.27281623703425	1.2333042850141285	26STIM091smiling	smiling	91.0	20.0	female	white	0.8066341755644862	0.0	n/a	n/a	-1.505	-2.405	-0.9025000000000001
163.26438850169532	1.2499333659534386	27STIM061neutral	neutral	61.0	40.0	male	black	-0.8032888270433213	0.0	n/a	n/a	-1.585	0.19249999999999995	-0.015000000000000124
168.27255121011353	1.2333066998380673	28STIM039smiling	smiling	39.0	27.0	female	white	1.0476654975863053	0.0	n/a	n/a	1.145	-1.2325	1.7475
173.27241779109386	1.2333048887207951	29STIM087smiling	smiling	87.0	31.0	female	east_asian	0.2277434314672544	0.0	n/a	n/a	-0.9374999999999999	0.5124999999999998	-0.17749999999999994
178.2639909613142	1.2416034309817403	30STIM011neutral	neutral	11.0	36.0	female	white	-0.4417418440105927	0.0	n/a	n/a	-0.99	1.65	0.91
183.2639200258625	1.2415427585319776	31STIM061smiling	smiling	61.0	40.0	male	black	-0.8032888270433213	0.0	n/a	n/a	-1.585	0.19249999999999995	-0.015000000000000124
188.263814075465	1.2415195158519057	32STIM092smiling	smiling	92.0	32.0	male	white	-0.8236518180417165	0.0	n/a	n/a	-0.7425	-0.45499999999999996	0.8150000000000002
193.27188109648682	1.2333187739577625	33STIM124neutral	neutral	124.0	28.0	female	white	2.6097978070346155	0.0	n/a	n/a	1.4774999999999996	2.18	0.365
198.27175250711548	1.2416435774284764	34STIM044neutral	neutral	44.0	22.0	male	black	-0.42844356417490564	0.0	n/a	n/a	1.1324999999999998	-0.6050000000000001	0.6500000000000001
