00STIM044neutral	01STIM064neutral	02STIM033smiling	03STIM117smiling	04STIM101smiling	05STIM043smiling	06STIM124smiling	07STIM091neutral	08STIM130smiling	09STIM034smiling	10STIM033neutral	11STIM141smiling	12STIM121smiling	13STIM126smiling	14STIM062neutral	15STIM038neutral	16STIM099neutral	17STIM144smiling	18STIM018neutral	19STIM070smiling	20STIM136smiling	21STIM024neutral	22STIM130neutral	23STIM091smiling	24STIM092neutral	25STIM012neutral	26STIM034neutral	27STIM102smiling	28STIM006smiling	29STIM024smiling	30STIM141neutral	31STIM066neutral	32STIM018smiling	33STIM087smiling	34STIM070neutral	35STIM006neutral	36STIM005neutral	37STIM126neutral	38STIM030smiling	39STIM087neutral	rating	response	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	csf	white_matter	drift_1	drift_2	drift_3	drift_4	constant
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.726969999999999e-06	0.042046	-2.32943e-06	0.0	-0.000437225	0.0	51453.03121342463	31359.79335356213	0.07658314557930038	0.07658070801419767	0.07657664546316356	0.07657095801240238	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.13655e-05	0.0119944	-2.81756e-06	0.0	8.73156e-05	0.0	51022.876400836845	31366.28834054129	0.07657664546316356	0.07655470892890938	0.0765181526932197	0.07646698373726209	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05541e-06	-0.0560294	0.0179894	0.000219529	-0.000206298	0.0	50981.22354868914	31361.888761102586	0.07656364578259761	0.07650271958500016	0.07640121183280461	0.07625917637170966	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.2594300000000015e-06	0.0399427	-8.102799999999996e-06	0.000207536	3.66517e-05	0.0	50848.3828125	31340.41379568917	0.07654414764097107	0.07642475763280808	0.07622591220673533	0.07594781809348927	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.82887e-06	0.0591785	0.0119965	0.0	7.974239999999997e-05	0.0	50757.98168305244	31306.97562953404	0.0765181526932197	0.07632084954034966	0.07599238771694289	0.07553333169019726	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3083e-05	-0.0336485	0.0191897	-0.000186737	-0.000318147	0.0	50436.86246196161	31336.08474266416	0.07648566314570594	0.07619103058433398	0.07570081674019183	0.07501627998518672	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10944e-05	-0.00291679	0.0382597	0.0	3.61375e-05	6.24219e-05	50488.11573180009	31295.61195359003	0.0764466817560318	0.07603534483818628	0.07535142199182784	0.07439736507332015	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.29149e-06	0.0370441999999999	0.0138525	-0.000138049	-6.88489e-05	0.0	50518.10691713484	31312.83387218657	0.07640121183280461	0.07585384515708506	0.07494447035565747	0.073677427367608	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6892899999999995e-05	0.00521871	0.0118441	-0.000273551	-0.000496444	0.0	50450.62218369616	31262.41210298084	0.07634925723535635	0.07564659316001782	0.07448027268009007	0.07285744445802747	1.0
1.325738725554964e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0101566	-0.0357796	0.0271148	-0.000358876	-0.000225825	0.0	50509.27729254447	31319.86991838728	0.07629082237341601	0.07541365920886141	0.07395918354069733	0.07193852978407132	1.0
