onset	duration	trial_type	expression	face_id	face_age	face_sex	face_eth	average_attractiveness	catch	rating_score	response_hand	subject_attractiveness	subject_dominance	subject_trustworthiness
-288.47616118173215	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-260.89772889177766	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-243.15409806473872	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-225.32645452591717	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-216.9596173304308	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-202.6519292255089	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-198.57300822981782	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-196.3950638003989	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-186.06027954330418	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-176.33347178486656	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-172.79554230338363	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-166.57967412775542	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-162.35875830709298	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-160.21385569808623	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-159.64085078869175	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-158.67988023540056	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-158.1999917291323	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-150.07101295809844	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-108.66590759809151	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	left	n/a	n/a	n/a
-103.8949635840272	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	left	n/a	n/a	n/a
-102.27300750536232	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
-101.72707127919601	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.0	left	n/a	n/a	n/a
-101.30510059067457	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.0	left	n/a	n/a	n/a
-98.60405628779336	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-1.0	right	n/a	n/a	n/a
-97.9221119573831	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-2.0	right	n/a	n/a	n/a
-80.44146398006342	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-67.07771688996036	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
-13.53078182050922	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
